,name,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,incorporated,long description,company_website,link
44,Relai AG,Fintech,Applications,Blockchain,Finance,Fintech,Internet,Mobile,Software,,,,,,,,,,,,,,October 2020,"Relai was founded with the belief that bitcoin is the best way to save money and build wealth in the 21st century and everyone should have easy access to it.  The simple and intuitive bitcoin-only investment app enables anyone in Europe to buy and sell bitcoin within minutes, without the need for registration, verification, or deposits. Relai was founded in 2020 in Zurich, Switzerland by Julian Liniger and Adem Bilican after they struggled to find a hassle-free and safe place for buying bitcoin theyd recommend to their friends. The Relai app in numbers: 100'000+ App Downloads; 40+ different countries in Europe; 30'000+ active (paying) users; CHF 6M+ monthly volume",https://www.relai.app,https://www.top100startups.swiss/Relai
45,Oculis SA,Biotech,Biotech,,,,,,,,,,,,,,,,,,,,December 2017,"Oculis S.A. is a biopharmaceutical company focused on developing transformative topical ophthalmic treatments using its innovative formulation technologies to improve the sight and lives of patients.Oculis' novel topical (eye drop) treatments are non-invasive and represent an unprecedented technical advance for patients with retinal and front-of-the-eye diseases.The Company's leading clinical candidates are:- OCS-01 is a novel, high concentration, preservative free, topical formulation of dexamethasone based on Oculis' proprietary Solubilizing Nanoparticle (SNP) technology. - OCS-02 is a novel topical anti-TNF alpha antibody. In addition, Oculis' formulation discovery focus and capabilities are enabling the development of topical drugs targeting sight-threatening diseases.",https://www.oculis.com,https://www.top100startups.swiss/Oculis
46,Kitro SA,Foodtech,Cleantech,Food,Machine Learning / AI,Sensors,Services for companies,SaaS,,,,,,,,,,,,,,,November 2017,"Two thirds of all food thrown away is edible food that could have been avoided. This avoidable food waste occurring along the entire supply chain has detrimental environmental and social implications.  We're committed to bringing innovative solutions to food waste management. With an IoT device and scale, we automatically capture data on all the food being wasted in commercial kitchens. We provide personalised analytics dashboards that empower users to make informed decisions and optimize work practices to reduce food waste by 60%, increase food profit margins by 8% and lower their carbon footprint. KITROs goal is to bring back the value of all food, so that it is appreciated and not wasted.",https://www.kitro.ch,https://www.top100startups.swiss/Kitro
47,Exnaton AG ,Cleantech,Energy efficiency,Energy production,Renewable energy,Smart Home,IoT,Solar,SaaS,,,,,,,,,,,,,,July 2020,"Today, the energy market is broken. We need to move to clean renewable energy supply and replace fossil fuels faster than ever before. Our software platform PowerQuartier empowers energy companies to offer new and attractive products around renewable energy to their customer base. For instance, energy communities that activate private capital for investments in renewable assets, or dynamic prices that provide incentives for consumers to shift their energy demand to when there is renewable power available. This makes investing in renewable energy easy and fun while our algorithms handle dynamic billing of complex energy flows.",https://www.exnaton.com,https://www.top100startups.swiss/Exnaton
48,TYXIT SA,ICT,Consumer products,Communications,Blockchain,Gaming,Internet,Media,Mobile,SaaS,Social networks,Software,,,,,,,,,,,May 2019,"TYXIT product is a SaaS platform for remote real-time interaction amongst musicians and gamers, providing a solution for performers to play, rehearse, create and protect their unique creation though NFT generation, and engage with their fans as if they were in a live show, thanks to its backbone tech edge on ultra low-latency solution and immersive sound experience.",https://www.tyxit.com,https://www.top100startups.swiss/TYXIT
49,Qnami AG,Engineering,Energy efficiency,Electronics,Materials,Hightech,Diagnostics,Nano technologies,Optics,Imaging and Radiology,Sensors,Semiconductors,,,,,,,,,,,November 2017,"Qnami is a VC-backed high-tech company with its roots at the Physics Department of the University of Basel in Switzerland. It develops fundamental new technology using quantum mechanics. The control of the state of a single electron enables measurement with a precision that was never achieved before. The technique is called quantum sensing and Qnami is enthusiastically developing it to improve people’s lives and the world. Extensive academic research and deep knowledge build the ground for all that Qnami does. Qnami offers an open team culture of mutual respect and intercultural understanding which is both business and scientific minded. Qnami attracts young, multicultural, open and skilled team members, who have a deep passion for the work. www.qnami.ch",https://www.qnami.ch,https://www.top100startups.swiss/Qnami
50,GlycoEra AG,Biotech,Cancer,Drug development platforms,,,,,,,,,,,,,,,,,,,December 2020,"GlycoEra AG is a biotechnology company building a high-value pipeline of medicines based on deep expertise in glycobiology and protein degradation. GlycoEras innovative CustomGlycan platform enables the design, engineering, and development of novel biologics for a broad range of indications. GlycoEra is advancing a range of assets toward human clinical studies.",https://glycoera.com,https://www.top100startups.swiss/GlycoEra
51,STALICLA SA,Biotech,Bioinformatics,Big Data,Biotech,Drug development platforms,Drug discovery,Machine Learning / AI,Small molecule drugs,,,,,,,,,,,,,,May 2017,"STALICLA is a clinical stage biotech company advancing the first clinically validated precision medicine platform for patients with Neurodevelopmental Disorders (NDDs), with a first application in ASD. STALICLA has already identified and validated several subgroups of patients with ASD and corresponding treatment candidates. STP1, tailored for the treatment of ASD-Phenotype 1, has successfully completed Phase 1b in early 2022, showing good safety/tolerability, positive target engagement, and superiority in cognition endpoints. In early 2023, STP1 will enter Phase 2; STP2, a phase 2 ready compound tailored for ASD-Phenotype 2 patients will also be entering Phase 2.STALICLA is currently engaged in raising its Series B with a target amount of USD 65M to support its next stage of growth.",https://www.stalicla.com,https://www.top100startups.swiss/STALICLA
52,ArcoScreen SA,Biotech,Biotech,Drug development platforms,Drug discovery,Micro technologies,Research and development,,,,,,,,,,,,,,,,July 2021,"ArcoScreen SA, spin-off of EPFL (Ecole Polytechnique Fédérale de Lausanne), was founded in July 2021 and has developed a new cell membrane receptor screening platform based on microfluidic readout systems and focusing on G Protein Coupled Receptors also called GPCRs. Our novel and unique patented assay embedded in a microfluidic chip, called SynScreen, provides the only mean today of rapidly and accurately identifying drugs targeting GPCRs directly on primary patient cells. The implication is nothing less than more accurate, cheaper and faster drug discoveries, for the mutual benefit of patients and ArcoScreen.",https://www.arcoscreen.ch,https://www.top100startups.swiss/ArcoScreen
53,hemotune AG,Medtech,Biotech,Cancer,Hightech,Instruments,Interdisciplinary,Micro technologies,Nano technologies,Infection,Inflammation,Medical devices,Medtech,Tackle COVID-19,,,,,,,,,September 2017,"hemotune AG is developping a revolutionary medical device for blood purification that combines cutting-edge scientific results from biomedicine and nanotechnology. It allows specific and direct removal of disease-causing substances from the blood stream of a patient. The technology targets a broad range of harmful compounds such as toxins, pathogenic organisms, or overdosed drugs. Moreover, by being more targeted, efficient, and gentler than previous blood filters, we outperform state of the art therapies and improve patient outcomes. Our first development candidate focuses on sepsis, a blood spread infection with so far only very limited treatment options.",https://www.hemotune.ch,https://www.top100startups.swiss/hemotune
